,date,rcp_scenario,temp
4632,2047-11-13,rcp85,20.513702783932665
4633,2047-11-14,rcp85,20.619217808121537
4634,2047-11-15,rcp85,20.721665995689698
4635,2047-11-16,rcp85,20.780708070262108
4636,2047-11-17,rcp85,20.792307770495476
4637,2047-11-18,rcp85,20.618446747399364
4638,2047-11-19,rcp85,20.016025424130465
4639,2047-11-20,rcp85,19.49558865953029
4640,2047-11-21,rcp85,19.520763423226875
4641,2047-11-22,rcp85,19.622393039796304
4642,2047-11-23,rcp85,19.894342016462087
4643,2047-11-24,rcp85,20.18477916049332
4644,2047-11-25,rcp85,20.239380421531784
4645,2047-11-26,rcp85,20.242044143178628
4646,2047-11-27,rcp85,20.223565796551018
4647,2047-11-28,rcp85,20.046007418228275
4648,2047-11-29,rcp85,19.91932659250721
4649,2047-11-30,rcp85,19.953920130969315
4650,2052-11-1,rcp85,18.589963557941402
4651,2052-11-2,rcp85,18.617426685138426
4652,2052-11-3,rcp85,18.656430927846504
4653,2052-11-4,rcp85,18.690516766692525
4654,2052-11-5,rcp85,18.722125295852116
4655,2052-11-6,rcp85,18.049062549779567
4656,2052-11-7,rcp85,17.38598022327213
4657,2052-11-8,rcp85,17.352473457543567
4658,2052-11-9,rcp85,17.36411089582626
4659,2052-11-10,rcp85,17.39352083453956
4660,2052-11-11,rcp85,17.359913992227714
4661,2052-11-12,rcp85,17.3000548500093
4662,2052-11-13,rcp85,17.408371504501055
4663,2052-11-14,rcp85,17.546228993993616
4664,2052-11-15,rcp85,17.672056764013025
4665,2052-11-16,rcp85,17.756754153066126
4666,2052-11-17,rcp85,17.839779726488477
4667,2052-11-18,rcp85,17.89964891518315
4668,2052-11-19,rcp85,17.942669340001828
4669,2052-11-20,rcp85,17.978380849141544
4670,2052-11-21,rcp85,18.004991028602277
4671,2052-11-22,rcp85,18.031803962503062
4672,2052-11-23,rcp85,18.040405057388025
4673,2052-11-24,rcp85,17.914694969229423
4674,2052-11-25,rcp85,17.74461092070671
4675,2052-11-26,rcp85,17.636478179454553
4676,2052-11-27,rcp85,17.534916239572468
4677,2052-11-28,rcp85,17.433938761499064
4678,2052-11-29,rcp85,17.32206934689867
4679,2052-11-30,rcp85,17.203967881348195
4680,2022-12-1,rcp45,17.18586886079196
4681,2022-12-2,rcp45,17.30796825802219
4682,2022-12-3,rcp45,17.44122098328805
4683,2022-12-4,rcp45,17.563439142844498
4684,2022-12-5,rcp45,17.642953721877873
4685,2022-12-6,rcp45,17.6857708807674
4686,2022-12-7,rcp45,17.723724287403314
4687,2022-12-8,rcp45,17.274442104226384
4688,2022-12-9,rcp45,15.901674947142967
4689,2022-12-10,rcp45,15.646901179527305
4690,2022-12-11,rcp45,15.661472905680975
4691,2022-12-12,rcp45,15.631893904692838
4692,2022-12-13,rcp45,15.652669698630305
4693,2022-12-14,rcp45,15.585316842571732
4694,2022-12-15,rcp45,15.6001056359948
4695,2022-12-16,rcp45,15.49087599495696
4696,2022-12-17,rcp45,15.508026118214866
4697,2022-12-18,rcp45,15.570318324045276
4698,2022-12-19,rcp45,15.586806290026901
4699,2022-12-20,rcp45,15.398121073505317
4700,2022-12-21,rcp45,14.58230550350859
4701,2022-12-22,rcp45,14.13456338636969
4702,2022-12-23,rcp45,14.083041411056
4703,2022-12-24,rcp45,14.281121253991639
4704,2022-12-25,rcp45,14.471697141352715
4705,2022-12-26,rcp45,14.505285390472046
4706,2022-12-27,rcp45,14.521126683047543
4707,2022-12-28,rcp45,13.534594606105527
4708,2022-12-29,rcp45,12.716810576259084
4709,2022-12-30,rcp45,12.759994787098329
4710,2022-12-31,rcp45,12.670057325641274
4711,2027-12-1,rcp45,15.900029660118722
4712,2027-12-2,rcp45,15.300634886823142
4713,2027-12-3,rcp45,15.202261561699098
4714,2027-12-4,rcp45,15.041744353492797
4715,2027-12-5,rcp45,15.122419057458275
4716,2027-12-6,rcp45,15.088041779820404
4717,2027-12-7,rcp45,15.136388441258283
4718,2027-12-8,rcp45,15.35121508587063
4719,2027-12-9,rcp45,15.534249179212125
4720,2027-12-10,rcp45,15.828253133099807
4721,2027-12-11,rcp45,16.11705090083799
4722,2027-12-12,rcp45,16.398739133257468
4723,2027-12-13,rcp45,16.609061123850495
4724,2027-12-14,rcp45,16.765855936070988
4725,2027-12-15,rcp45,16.90912986291154
4726,2027-12-16,rcp45,17.017354616497006
4727,2027-12-17,rcp45,17.099690766474957
4728,2027-12-18,rcp45,17.198282573619526
4729,2027-12-19,rcp45,16.59749764801479
4730,2027-12-20,rcp45,14.070746749987261
4731,2027-12-21,rcp45,12.414864172392903
4732,2027-12-22,rcp45,11.563392367501487
4733,2027-12-23,rcp45,11.834917081659128
4734,2027-12-24,rcp45,12.158266430391565
4735,2027-12-25,rcp45,12.297054673881124
4736,2027-12-26,rcp45,11.422532162622938
4737,2027-12-27,rcp45,10.071716132435279
4738,2027-12-28,rcp45,9.940092363843576
4739,2027-12-29,rcp45,10.043906987877643
4740,2027-12-30,rcp45,10.146300657173011
4741,2027-12-31,rcp45,9.96139132248288
4742,2032-12-1,rcp45,18.75578884940563
4743,2032-12-2,rcp45,18.781972427225888
4744,2032-12-3,rcp45,18.793496970144357
4745,2032-12-4,rcp45,18.829660310878513
4746,2032-12-5,rcp45,18.84354271080873
4747,2032-12-6,rcp45,18.83016498813546
4748,2032-12-7,rcp45,18.209193397084288
4749,2032-12-8,rcp45,18.071492895258878
4750,2032-12-9,rcp45,18.026138503311333
4751,2032-12-10,rcp45,17.978872753918363
4752,2032-12-11,rcp45,17.96501981924494
4753,2032-12-12,rcp45,17.959823803259248
4754,2032-12-13,rcp45,17.5836815302273
4755,2032-12-14,rcp45,16.766395778190457
4756,2032-12-15,rcp45,16.460036679498995
4757,2032-12-16,rcp45,16.348723952707285
4758,2032-12-17,rcp45,16.389173126797
4759,2032-12-18,rcp45,16.33140186524269
4760,2032-12-19,rcp45,15.829584312147547
4761,2032-12-20,rcp45,15.66738140007684
4762,2032-12-21,rcp45,15.842500550676482
4763,2032-12-22,rcp45,16.235684658489635
4764,2032-12-23,rcp45,16.472012097947875
4765,2032-12-24,rcp45,16.551639956179432
4766,2032-12-25,rcp45,16.574965660152774
4767,2032-12-26,rcp45,16.571339323855078
4768,2032-12-27,rcp45,16.544142299625204
4769,2032-12-28,rcp45,16.52572527491828
4770,2032-12-29,rcp45,16.520649116156278
4771,2032-12-30,rcp45,16.53474040920704
4772,2032-12-31,rcp45,16.541333409446892
4773,2037-12-1,rcp45,16.648673146393403
4774,2037-12-2,rcp45,16.57499542802883
4775,2037-12-3,rcp45,16.46674875916283
4776,2037-12-4,rcp45,16.387336265848067
4777,2037-12-5,rcp45,16.293044997703262
4778,2037-12-6,rcp45,16.30815972729788
4779,2037-12-7,rcp45,16.357474266927763
4780,2037-12-8,rcp45,16.427675421992756
4781,2037-12-9,rcp45,16.518552795355344
4782,2037-12-10,rcp45,16.625811279426934
4783,2037-12-11,rcp45,16.711216422887265
4784,2037-12-12,rcp45,16.747232702419755
4785,2037-12-13,rcp45,16.64595408316571
4786,2037-12-14,rcp45,15.396774868978595
